logFC	AveExpr	t	P.Value	adj.P.Val	B
1.64209277783346	5.29635541084991	22.1085898414372	8.84736677710845e-76	1.72523652153615e-71	161.914184070568
1.62707280288533	4.18357542396586	21.9142087961969	7.69472654846834e-75	7.50235838475663e-71	159.765670975853
1.76683131331258	3.62743042242294	21.840659623706	1.74427775884845e-74	1.13378054325149e-70	158.952749590245
1.66920281725215	4.16460480469864	21.7358650668283	5.59760895453761e-74	2.26694047558697e-70	157.794531428395
1.53984186054701	3.02506815922772	21.7324766217329	5.81266788612043e-74	2.26694047558697e-70	157.757082668733
1.91302456393767	5.25850881016828	21.2958668265477	7.47397269641613e-72	2.38014586670401e-68	152.932800864224
1.74153214947198	3.49132120025201	21.2838327086129	8.54411336765542e-72	2.38014586670401e-68	152.799871529743
1.5569302522174	3.83446329640255	20.9695634525421	2.81088228407892e-70	6.85152556744237e-67	149.329543164974
1.68269051048687	3.60711495765446	20.8923017312183	6.63227866530119e-70	1.43699371081526e-66	148.476756268287
1.77660743830331	4.66880818382072	20.6071879797432	1.57303681124987e-68	3.06742178193724e-65	145.331376041087
1.42170619599094	2.75036548435384	20.5298158718544	3.712602091582e-68	6.08277041348116e-65	144.478296512905
1.87731444488183	4.14533491289326	20.5290751892301	3.74324333137302e-68	6.08277041348116e-65	144.470131098656
1.68149179607209	4.13136696007174	20.5044400475219	4.92004979904959e-68	7.38007469857439e-65	144.198561297689
1.6951856144006	3.03168873278685	20.4649052719703	7.62908845810649e-68	1.06262303523626e-64	143.762793427362
1.5974500541631	3.4839535825791	20.4373920134516	1.03521839241911e-67	1.34578391014484e-64	143.459569082128
1.71646785847894	3.95626960366906	20.3708589359502	2.16536535857579e-67	2.63903903076425e-64	142.726437872244
1.4524330043887	3.20443737769876	20.3554036812912	2.57021376086172e-67	2.94818637275314e-64	142.556162977593
1.58860637840193	3.0163047293809	20.3276345608615	3.49706411958897e-67	3.78848612955472e-64	142.250249248885
1.25605331503705	2.77498572217374	20.2506279044947	8.21262754882822e-67	8.42874932642896e-64	141.402101439496
1.31829631848878	4.43331502984383	20.2405366982142	9.18461947699809e-67	8.95500399007313e-64	141.290977746144
1.43309707346504	4.00737315415727	20.17366245641	1.92725522323196e-66	1.78959413585824e-63	140.554686299745
1.78143094889838	4.08620762572722	20.1321734189434	3.05200349177663e-66	2.70518491316565e-63	140.09799851165
1.9175279251104	5.1074531719513	20.0909090503574	4.82071800149541e-66	4.08713047952872e-63	139.643870001756
1.39299404612432	6.48402592501295	20.0239266967338	1.01224837791429e-65	8.2245180705536e-63	138.906894745468
1.7022173295724	3.45858727103384	20.001356551061	1.29963834658556e-65	1.01371791033674e-62	138.658619927513
1.08264035254266	6.30153225198786	19.9810432126154	1.62740252906801e-65	1.22055189680101e-62	138.435193996852
1.3455138631485	2.58648917997642	19.9639462282502	1.96650275053408e-65	1.42025198649684e-62	138.247162252043
1.51509537173668	3.19793470659001	19.9411726646269	2.53031814261992e-65	1.76218584932458e-62	137.996725018915
1.85243895599459	4.5789854810854	19.9107178592314	3.54455814842728e-65	2.38340978945972e-62	137.661864025107
1.57595564575776	4.42934497738081	19.8702535827962	5.54658283513302e-65	3.60527884283647e-62	137.217027599741
1.52620759308648	2.37887610243837	19.8533820457192	6.68489317743012e-65	4.20501345031895e-62	137.031581637097
1.69181771516405	3.37292945754778	19.8334871872121	8.33069563372818e-65	5.07651765180311e-62	136.812925939538
1.5589744707897	3.47491434723911	19.6167365984096	9.14932935334193e-64	5.40642189061114e-61	134.43229221583
1.69014440354471	3.90854602597766	19.4654339148802	4.86470465043891e-63	2.79005119657526e-60	132.772315902819
1.45178626852702	2.51204363100225	19.4208356600917	7.95833189455676e-63	4.43392776982448e-60	132.283323400166
1.51804214770341	2.65195027562366	19.3759978371635	1.30518614936853e-62	7.06975830907955e-60	131.791849371275
1.60751838247005	3.87317289401016	19.355981535179	1.62766175458619e-62	8.57821735525153e-60	131.572495478113
1.4239377775243	2.5751707222805	19.3167259997721	2.50949839015562e-62	1.28776891073775e-59	131.14239031322
1.50381093351687	3.13585299690915	19.3023893946199	2.93929033168474e-62	1.46964516584237e-59	130.985339613378
1.22262113088666	2.01841792267261	19.2732323742921	4.05367897462375e-62	1.97616850012908e-59	130.665986746993
1.50563778776329	2.65769189514869	19.2393238926804	5.89075101462136e-62	2.80169865329553e-59	130.294674360815
1.43407195742647	3.73274297394832	19.1938236017609	9.72569473152373e-62	4.5155011253503e-59	129.796568381197
1.41133390810597	4.77811042063284	19.1769073507284	1.17181254600424e-61	5.31403363885644e-59	129.611422826193
1.40353835303516	3.38111661601164	19.1710757546857	1.2495616327167e-61	5.53782996317628e-59	129.547602298573
1.49062471109114	4.35043182968024	19.1386673056524	1.78560104056988e-61	7.73760450913614e-59	129.192976876744
1.56723371002717	3.46740582811861	19.120384253821	2.18386341858546e-61	9.257681883134e-59	128.992954605603
1.40614651955442	3.87464878018499	19.1126646059129	2.37761804366077e-61	9.86458550029468e-59	128.908507498284
1.59309722707307	4.25317166446523	19.0795044004158	3.42527258731283e-61	1.39151698859584e-58	128.545816036209
1.43835176698319	2.31178950737681	19.0566372008735	4.40564643259386e-61	1.75326745786898e-58	128.295758330897
1.46267470281438	2.67557560014806	19.0259570434296	6.17508622599925e-61	2.40828362813971e-58	127.960333624011
1.0687994739903	3.17001550344124	19.0144770854436	7.00650758230147e-61	2.67895878146821e-58	127.834844397543
2.13059247731357	5.20925174674559	19.0099167248877	7.36703181902923e-61	2.76263693213596e-58	127.784997513055
